track_id,track_name,artist(s)_name,artist_count,released_year,in_spotify_charts,streams,in_apple_charts,in_deezer_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,total_playlists,bpm_category,danceability_%_category,valence_%_category,energy_%_category,acousticness_%_category,instrumentalness_%_category,liveness_%_category,speechiness_%_category
4082370,Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,147,141381703,263,10,125,80,89,83,31,0,8,4,641,medium,high,high,high,medium,low,low,low
6247887,LALA,Myke Towers,1,2023,48,133716286,126,14,92,71,61,74,7,0,10,4,1580,low,medium,medium,medium,medium,low,low,low
6974739,vampire,Olivia Rodrigo,1,2023,113,140003974,207,14,138,51,32,53,17,0,31,6,1582,medium,low,low,low,medium,low,high,medium
2362023,Cruel Summer,Taylor Swift,1,2019,100,800840817,207,12,170,55,58,72,11,0,11,15,8099,high,low,medium,medium,medium,low,medium,high
4386478,WHERE SHE GOES,Bad Bunny,1,2023,50,303236322,133,15,144,65,23,80,14,63,11,6,3304,high,medium,low,high,medium,high,medium,medium
5031502,Sprinter,"Dave, Central Cee",2,2023,91,183706234,213,17,141,92,66,58,19,0,8,24,2341,high,high,medium,medium,medium,low,low,high
1892693,Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,50,725980112,222,13,148,67,83,76,48,0,8,3,3167,high,medium,high,medium,high,low,low,low
7366228,Columbia,Quevedo,1,2023,43,58149378,89,13,100,67,26,71,37,0,11,4,769,medium,medium,low,medium,medium,low,medium,low
5563881,fukumean,Gunna,1,2023,83,95217315,210,11,130,85,22,62,12,0,28,9,1204,medium,high,low,medium,medium,low,high,medium
5586506,La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,44,553634067,110,13,170,81,56,48,21,0,8,33,3068,high,high,medium,low,medium,low,low,high
1197669,un x100to,"Bad Bunny, Grupo Frontera",2,2023,40,505671438,205,12,83,57,56,72,23,0,27,5,2971,low,low,medium,medium,medium,low,high,medium
7016313,Super Shy,NewJeans,1,2023,55,58255150,202,5,150,78,52,82,18,0,15,7,480,high,high,medium,high,medium,low,medium,medium
7662572,Flowers,Miley Cyrus,1,2023,115,1316855716,215,58,118,71,65,68,6,0,3,7,13256,medium,medium,medium,medium,low,low,low,medium
5374189,Daylight,David Kushner,1,2023,98,387570742,156,24,130,51,32,43,83,0,9,3,3790,medium,low,low,low,high,low,low,low
3197174,As It Was,Harry Styles,1,2022,130,2513188493,198,46,174,52,66,73,34,0,31,6,24841,high,low,medium,medium,medium,low,high,medium
5025330,Kill Bill,SZA,1,2022,77,1163093654,162,12,89,64,43,73,5,17,16,4,8453,low,medium,medium,medium,low,high,medium,low
2013796,Cupid - Twin Ver.,Fifty Fifty,1,2023,77,496795686,212,6,120,78,76,59,43,0,34,3,3111,medium,high,high,medium,high,low,high,low
1404326,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,1,2023,104,30546883,227,24,78,44,14,9,96,0,10,3,1048,low,low,low,low,high,low,low,low
6456333,Classy 101,"Feid, Young Miko",2,2023,40,335222234,100,14,100,86,67,66,14,0,12,16,2707,medium,high,medium,medium,medium,low,medium,high
8091023,Like Crazy,Jimin,1,2023,68,363369738,104,2,120,63,36,73,0,0,36,4,627,medium,medium,medium,medium,low,low,high,low
6452995,LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,2023,26,86444842,163,4,140,65,87,74,22,0,42,4,353,medium,medium,high,medium,medium,low,high,low
7529779,I Can See You (Taylor���s Version) (From The,Taylor Swift,1,2023,38,52135248,119,1,123,69,82,76,6,0,6,3,631,medium,medium,high,medium,low,low,low,low
1406287,I Wanna Be Yours,Arctic Monkeys,1,2013,110,1297026226,98,2,135,48,44,42,12,2,11,3,13465,medium,low,medium,low,medium,high,medium,low
7757967,"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,2023,40,200647221,152,11,133,85,81,67,26,0,12,5,1362,medium,high,high,medium,medium,low,medium,medium
5420196,Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3,2023,87,115364561,182,14,99,85,83,68,7,0,36,20,2106,low,high,high,medium,medium,low,high,high
7510507,SABOR FRESA,Fuerza Regida,1,2023,26,78300654,149,5,130,79,96,86,9,0,9,9,276,medium,high,high,high,medium,low,low,medium
3448376,Calm Down (with Selena Gomez),"R��ma, Selena G",2,2022,77,899183384,119,38,107,80,82,80,43,0,14,4,7632,medium,high,high,high,high,low,medium,low
4576591,MOJABI GHOST,"Tainy, Bad Bunny",2,2023,40,61245289,109,14,122,81,74,71,14,0,56,4,935,medium,high,high,medium,medium,low,high,low
3252628,Last Night,Morgan Wallen,1,2023,19,429829812,107,1,204,52,52,68,46,0,15,4,2487,high,low,medium,medium,high,low,medium,low
5310138,Dance The Night (From Barbie The Album),Dua Lipa,1,2023,101,127408954,0,38,110,67,78,85,2,0,33,5,3131,medium,medium,high,high,low,low,high,medium
2808274,Rush,Troye Sivan,1,2023,78,22581161,135,1,126,74,35,84,0,0,11,6,985,medium,medium,medium,high,low,low,medium,medium
2869874,TULUM,"Peso Pluma, Grupo Frontera",2,2023,34,52294266,185,8,168,56,63,87,39,0,11,5,299,high,low,medium,high,medium,low,medium,medium
2927588,Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,2022,88,843957510,149,23,98,71,17,61,36,0,8,5,6394,low,medium,low,medium,medium,low,low,medium
8346039,Anti-Hero,Taylor Swift,1,2022,56,999748277,142,9,97,64,51,63,12,0,19,5,9489,low,medium,medium,medium,medium,low,medium,medium
3464535,TQG,"Karol G, Shakira",2,2023,49,618990393,123,18,180,72,61,63,67,0,9,28,4583,high,medium,medium,medium,high,low,low,high
4801316,Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8,2023,31,123122413,33,7,120,81,63,68,11,0,11,4,1206,medium,high,medium,medium,medium,low,medium,low
2708944,Fr��gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2,2023,34,188933502,108,9,150,61,39,73,37,0,11,3,715,high,medium,medium,medium,medium,low,medium,low
3921634,Blank Space,Taylor Swift,1,2014,53,1355959075,123,2,96,75,57,68,9,0,13,6,11998,low,medium,medium,medium,medium,low,medium,medium
4796316,Style,Taylor Swift,1,2014,42,786181836,111,4,95,60,48,79,0,0,12,4,8075,low,medium,medium,high,low,low,medium,low
7070604,TQM,Fuerza Regida,1,2023,28,176553476,159,6,125,79,96,85,27,0,11,6,615,medium,high,high,high,medium,low,medium,medium
3595953,El Azul,"Junior H, Peso Pluma",2,2023,25,354495408,107,3,144,56,84,65,23,0,10,6,708,high,low,high,medium,medium,low,low,medium
3827571,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2018,78,2808096550,117,4,90,76,91,50,54,0,7,5,25309,low,medium,high,low,high,low,low,medium
5165382,I'm Good (Blue),"Bebe Rexha, David Guetta",2,2022,80,1109433169,184,45,128,56,38,97,4,0,35,4,13310,medium,low,medium,high,low,low,high,low
